Mar 28 16:48:33.561 [notice] Opened Socks listener connection (ready) on 0.0.0.0:9050
Mar 28 16:48:33.561 [notice] Opening DNS listener on 127.0.0.1:53
Mar 28 16:48:33.561 [notice] Opened DNS listener connection (ready) on 127.0.0.1:53
Mar 28 16:48:33.561 [notice] Opening Control listener on 127.0.0.1:15000
Mar 28 16:48:33.561 [notice] Opened Control listener connection (ready) on 127.0.0.1:15000
Mar 28 16:48:33.000 [warn] Your log may contain sensitive information - you disabled SafeLogging. Don't log unless it serves an important reason. Overwrite the log afterwards.
Mar 28 16:48:33.000 [notice] Parsing GEOIP IPv4 file Tor/geoip.
Mar 28 16:48:33.000 [notice] Parsing GEOIP IPv6 file Tor/geoip6.
Mar 28 16:48:33.000 [notice] Bootstrapped 0% (starting): Starting
Mar 28 16:48:35.000 [notice] Starting with guard context "default"
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:35.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] Bootstrapped 5% (conn): Connecting to a relay
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] Bootstrapped 10% (conn_done): Connected to a relay
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:36.000 [notice] Bootstrapped 14% (handshake): Handshaking with a relay
Mar 28 16:48:36.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] Bootstrapped 15% (handshake_done): Handshake with a relay done
Mar 28 16:48:37.000 [notice] Bootstrapped 75% (enough_dirinfo): Loaded enough directory info to build circuits
Mar 28 16:48:37.000 [notice] Bootstrapped 90% (ap_handshake_done): Handshake finished with a relay to build circuits
Mar 28 16:48:37.000 [notice] Bootstrapped 95% (circuit_create): Establishing a Tor circuit
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:37.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:38.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:39.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:40.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:41.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:42.000 [notice] New control connection opened from 127.0.0.1.
